client_canonical,trigger_id,trigger_name,matched_solutions,matching_basis,evidence_sources
Suncorp,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Swiss Re,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
Swiss Re,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R42; F5/Competitor Analysis/R43
Swiss Re,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R42; F5/Competitor Analysis/R43
Travelers Group,renewal_le_6mo,Incumbent renewal within 6 months,EXL Subrosource; EXL Assist; EXL MedConnection; EXL NerveHub; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL Paymentor; EXL EXELIA.AI,function:CLAIMS in evidence; function:UW in evidence; function:F&A in evidence,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12
Travelers Group,mass_renewal,Multiple incumbent scopes renewing together,,unmatched,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12
Travelers Group,active_friction,Active competitor friction (free-text signal),EXL Subrosource; EXL MedConnection; EXL XTRAKTO.AI; EXL Paymentor; EXL EXELIA.AI,function:CLAIMS in evidence,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12
Travelers Group,active_friction,Active competitor friction (free-text signal),EXL Subrosource; EXL MedConnection; EXL XTRAKTO.AI; EXL Paymentor; EXL EXELIA.AI,function:CLAIMS in evidence,F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41
Travelers Group,active_friction,Active competitor friction (free-text signal),,unmatched,F5/Competitor Analysis/R65
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,EXL NerveHub + EXL XTRAKTO.AI (Endorsements stack),VOC mapping (priority -> E_E2E),F1/Buyer Priorities/R14
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,EXL XTRAKTO.AI + EXL EXELIA.AI (FNOL stack),VOC mapping (priority -> FNOL),F1/Buyer Priorities/R9; F1/Buyer Priorities/R15; F1/Buyer Priorities/R16; F1/Buyer Priorities/R18
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,EXL Digital Finance Suite + EXL Paymentor,VOC mapping (priority -> Int_Col),F1/Buyer Priorities/R19; F1/Buyer Priorities/R20
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,EXL XTRAKTO.AI + EXL EXELIA.AI (FNOL stack),VOC mapping (priority -> FNOL),F1/Buyer Priorities/R17
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,EXL XTRAKTO.AI + EXL Assist (New Business stack),VOC mapping (priority -> NB_PaaS),F1/Buyer Priorities/R11; F1/Buyer Priorities/R12; F1/Buyer Priorities/R13
Travelers Group,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Travelers Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12
Travelers Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41
Travelers Group,multi_competitor_friction,Multiple competitors at one client all in friction,,unmatched,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12; F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41; F5/Competitor Analysis/R65
Travelers Group,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),EXL NerveHub; EXL XTRAKTO.AI; EXL EXELIA.AI; EXL Paymentor,concentration -> sequenced multi-solution via NerveHub,client_engagements_summary (derived from F4 + F5)
Travelers Group,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12
Travelers Group,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41
