insuretech,what_they_do,market_1,lob,ranking_2019,rating_2020,category,value_chain,market_2,potential_funding,vertical,business_lines_supported,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Slice Labs,An Insure Tech start-up offering periodic insurance specifically to support the on-demand economy. Personal Auto.  On demand insurance with digital customer engagement,Personal,Auto,Low,0,On-demand,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$40.5m,P&C,Personal,F1,InsureTech Landscape,18,2020-08-03,2020-08-03,2026-05-27
Quantemplate,"A data analytics venture using AI to help insurance clients rapidly turn raw data into actionable insights. Quantemplate enables business users to take raw data sources, cleanse and harmonize them with tools powered by machine learning, then perform analysis to develop competitive advantage through proprietary insights. Leading insurance businesses use Quantemplate to grow their business, collapse their costs and enable digital transformation.",Both,Agnostic,Low,0,AI,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",UK,$13.58m,Unknown,Unknown,F1,InsureTech Landscape,19,2020-08-03,2020-08-03,2026-05-27
iCarbonX,"A health data venture using a combination of biological, behavioral and psychological data with AI to improve health services. iCarbonX aimed at building an ecosystem of digital life based on the combination of consumers’ big life data, internet and artificial intelligence. They will create the first and also most professional data collection platform of millions of health data in China, combine the best biotechnology and the top team of artificial intelligence, and integrate the advantages of artificial intelligence into the abundant analyses and applications of big life data through data mining and machine learning.  HealthCare",Healthcare,Healthcare,Low,0,AI,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",China,$199.27m,Health,Personal,F1,InsureTech Landscape,20,2020-08-03,2020-08-03,2026-05-27
PolicyGenius,"The company offers a highly tailored insurance checkup platform where users can discover their coverage gaps and review solutions for their exact needs. PolicyGenius provides the only place online to shop for life, long-term disability and renters and pet insurance through its highly accurate quoting engines that offer side-by-side comparisons of tailored policies. Life, Health, Accident, Critical Illness, Dental, Vision, Disability, Long Term Care",Life and Health,"Life
Health
Accident
Dental
Vision
LTC",Low,0,Aggregator,Policy Acquisition,US,$51.1m,L&A,Individual,F1,InsureTech Landscape,21,2020-08-03,2020-08-03,2026-05-27
Jetty,"A property insurance venture providing simple personalized cover for both landlords and tenants. In an industry that’s historically been riddled with jargon, high costs, and outdated technology, company believe that everyone needs better, more affordable coverage that protects the things they love.  Renters",Personal,Renters,Low,0,,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",US,$40.5m,P&C,Personal,F1,InsureTech Landscape,22,2020-08-03,2020-08-03,2026-05-27
Alan,"A digital health insurance platform that utilizes a smart user interface to make policy purchasing and managing a simplified experience. It is focused focus on user experience with an excellent price-quality ratio health plan. Alan is the insurance company that makes healthcare simpler, smarter, and better.  Healthcare",Healthcare,Healthcare,Low,0,CX/Digital,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",France,$86.5m,Health,Individuals / Commercial,F1,InsureTech Landscape,23,2020-08-03,2020-08-03,2026-05-27
Kin Insurance,"A home insurer, utilizing open data to improve upon customer experience. Kin Insurance is an Insure Tech startup that sells affordable, user-friendly homeowners insurance. Company policies are underwritten by top-rated partners that have decades of experience and write over a billion dollars in premium each year. Homeowners ",Personal,Property,Low,0,CX,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",US,$17.71m,General insurance,Personal,F1,InsureTech Landscape,24,2020-08-03,2020-08-03,2026-05-27
Cytora,"A start-up utilising AI and data analytics to help insurers and reinsurers improve their understanding and pricing of risk. Cytora transforms underwriting for commercial insurance. Company's platform enables insurers to underwrite more accurately, reduce frictional costs, and achieve profitable growth.",Commercial,"Small Business - Auto, Health, Workers' Compensation",Medium,0,AI,Policy Underwriting,UK,$41.4m,P&C,Commercial,F1,InsureTech Landscape,25,2020-08-03,2020-08-03,2026-05-27
Arya,"A digital platform offering tools to build, manage and scale complex deep learning applications to a number of industries, including insurance, banking healthcare and more. Arya.ai is a Deep Learning platform offering multiple tools to build, manage and scale complex Deep Learning applications.",Both,Product Agnostic,Low,0,Digital,"Policy Underwriting, Policy servicing, Claims Management",India,$0.75m,Unknown,Unknown,F1,InsureTech Landscape,26,2020-08-03,2020-08-03,2026-05-27
Bought By Many,An insurance start-up utilising data analytics and social power to demand better insurance deals for customers. Company is an Insure Tech start-up using social media to disrupt insurance distribution.,Pet,Pet,Low,0,Analytics,Policy Acquisition,UK,$9.03m,Unknown,Unknown,F1,InsureTech Landscape,27,2020-08-03,2020-08-03,2026-05-27
Cape Analytics,"A data provider drawing on computer vision, geospatial imagery, and machine learning to extract property data for insurers.  Currently only in Personal but appears they may be branching out to Commercial.  Www.capeanalytics.com",Personal,Property,High,0,ML/Analytics,Policy Underwriting,US,$31m,P&C,Both,F1,InsureTech Landscape,28,2020-08-03,2020-08-03,2026-05-27
Atidot,"A cloud-based platform harnessing insurers' untapped data and integrating new and growing sources of social, open and sensor data to turn it into monitored and actionable business insights. Auto and Home",Personal,"Auto, Property",Medium,0,Analytics,"Policy Underwriting, Policy Servicing",Israel,$5m,Life Insurance,Unknown,F1,InsureTech Landscape,29,2020-08-03,2020-08-03,2026-05-27
Embroker,"An online commercial insurer providing on-demand policy purchase and management services to corporates. Embroker is a digital insurance brokerage company. As the leading digital insurance brokerage, Embroker is working to massively improve the $800 billion property and casualty (P&C) insurance market. ",Personal,"Auto, Property",Medium,0,On-demand,"Policy Underwriting, Policy servicing, Claims Management",US,$42.4m,P&C,Commercial,F1,InsureTech Landscape,30,2020-08-03,2020-08-03,2026-05-27
Huize,"An online insurance agency connecting users to over 60 insurance companies. Huize is a Chinese third-party insurance services platform. Huize.com is an online insurance agency that focuses on travel, life, property, health, and casualty insurance. Its users have the ability to connect to the internal system of more than sixty insurance companies.",Personal,"Travel, life, property, health, and casualty insurance",Low,0,Aggregator,Policy Acquisition,China,$15m,P&C,Personal / Commercial,F1,InsureTech Landscape,31,2020-08-03,2020-08-03,2026-05-27
Joany,"A health insurance venture utilising data analytics and predictive modelling to provide simplified searching and purchasing services. Company uses Using data, machine learning and humans to help in selecting health plans.",Healthcare,Healthcare,Low,0,Analytics,Policy Acquisition,US,$19.18m,Health,Personal,F1,InsureTech Landscape,32,2020-08-03,2020-08-03,2026-05-27
Coya,"An AI-powered, customer focused digital insurer targeting millennials. Coya offers a redesigning and extending the insurance value chain, working backward from the customers' real-life needs. Coya will offer scalable protection at the point of need with an AI risk guardian and simple, transparent and personalized insurance cover. ",Personal,"Auto, Property",Low,0,AI/CX,Policy Acquisition,Germany,$40m,P&C,Personal,F1,InsureTech Landscape,33,2020-08-03,2020-08-03,2026-05-27
Beam Dental,Smart dental hygiene technology designed to lower employee benefit premiums through better health.,Dental,Dental,Low,0,Digital,"Policy Underwriting, Policy Servicing",US,$88.4m,Health,Commercial,F1,InsureTech Landscape,34,2020-08-03,2020-08-03,2026-05-27
Stride Health,A healthcare insurance platform that helps users find plan recommendations based on salary and doctors customers would prefer to use in their network.,Healthcare,Heathcare,Low,0,Aggregator,Policy Acquisition,US,$38.9m,Health,Individual,F1,InsureTech Landscape,35,2020-08-03,2020-08-03,2026-05-27
Boundlss,A healthcare venture utilising data analytics and the internet of things to provide digital insights into an individual's wellbeing.,Healthcare,Healthcare,Low,0,Analytics,"Policy Underwriting, Policy Servicing",Australia,$1.7m,Health,"Commercial, Personal",F1,InsureTech Landscape,36,2020-08-03,2020-08-03,2026-05-27
Next Insurance,A start-up providing on-demand specialized and small business insurance.,Commercial,"Small Business Auto, Property, Liability",Low,Low,On-demand,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$131m,P&C,Commercial,F1,InsureTech Landscape,37,2020-08-03,2020-08-03,2026-05-27
The Zebra,"An unbiased online comparison website for auto, property and boat cover. ",Personal,"Auto, Property",Low,0,Aggregator,Policy Acquisition,US,$63.03m,P&C,Personal,F1,InsureTech Landscape,38,2020-08-03,2020-08-03,2026-05-27
Sherpa,"An unbiased online insurance platform that gives users insight on their coverage and how it can be bettered. Sherpa’s technology is designed for manufacturers of consumer products like cars, intelligent headphones, home speakers, appliances, and electronic accessories that are looking to add intelligence to their products and explore new business models based on offering digital services.",Personal,"Auto, Property",Medium,0,Analytics,Policy Servicing,Malta,$16.6m,,"Commercial, Personal",F1,InsureTech Landscape,39,2020-08-03,2020-08-03,2026-05-27
Snapsheet,"A cloud-based SAAS solution used by motor insurance providers to guide claimants through a photo & information gathering process on the scene of an accident. The company was founded in 2010 as BodyShopBids and rebranded as Snapsheet in 2012.  Virtual appraisal platform , payments, managing rental reimbursement",Personal,"Auto
",High,0,Digital Ops,Claims Management,US,$66.9m,P&C,Personal Lines,F1,InsureTech Landscape,40,2020-08-03,2020-08-03,2026-05-27
Bunker,"An online platform making easier for gig economy workers, contractors, and small businesses to affordably fulfill their insurance requirements.",Commercial,"General & Professional Liability, Corporate Insurance, Marketplace Insurance Solutions",Medium,0,E-broker,"Policy Acquisition, Policy Underwriting, Policy Servicing",US,$8m,P&C,Commercial,F1,InsureTech Landscape,41,2020-08-03,2020-08-03,2026-05-27
Goji,"An insurance comparison platform for home and auto policies, providing a service switching solution for users.",Personal,"Auto, Property",Low,0,Aggregator,Policy Acquisition,US,$104.2m,P&C,Personal,F1,InsureTech Landscape,42,2020-08-03,2020-08-03,2026-05-27
Brolly,An AI-enabled insurance concierge providing advisory services to consumers via an online and mobile app.,Personal,"Auto, Property",Low,0,AI,"Policy Acquisition, Policy Underwriting, Policy Servicing",UK,$1.31m,Both,Personal,F1,InsureTech Landscape,43,2020-08-03,2020-08-03,2026-05-27
Otonomo,"A cloud-based SAAS solution for the auto industry which creates an environment to share and monetize car data. The company offers the first neutral automotive data services platform, which provides simple, secure data access and transforms data into actionable insights for services such as predictive maintenance, emergency services, on-demand fueling, insurance, and smart cities.",Personal,Auto,Low,0,Analytics,Policy Servicing,Israel,$53m,P&C,Personal,F1,InsureTech Landscape,44,2020-08-03,2020-08-03,2026-05-27
ROOT,"The Root app uses technology in smartphones to measure driving behavior—such as braking, speed of turns, driving times, and route consistency—and determines who is a safe driver and who isn’t. By only insuring safe drivers, Root can offer more affordable rates",Personal,Auto,Low,0,Telematics,"Policy Acquisition, Policy Underwriting, Policy Servicing",US,$16.88m,P&C,"Commercial, Personal",F1,InsureTech Landscape,45,2020-08-03,2020-08-03,2026-05-27
We Fox,A platform connecting insurers to brokers and enabling users to manage their policies digitally.,Personal,"Auto, Property, Health",Low,0,Aggregator,Policy Acquisition,Germany,$158.5m,P&C,"Personal, Commercial",F1,InsureTech Landscape,46,2020-08-03,2020-08-03,2026-05-27
Lumity,"A venture providing businesses with data analytics tools which deliver cost-saving advice for their company health plans. With one dashboard, users can control and measure their plan’s design, match recommendations to group needs, and receive real-time insights into benefits.",Commercial,"Auto, Property and Life",Low,0,Analytics,Policy Servicing,US,$33m,Health,Commercial,F1,InsureTech Landscape,47,2020-08-03,2020-08-03,2026-05-27
PolicyPal,An insurance app helping users manage and acquire insurance policies at affordable prices.,Personal,"Auto, Property",Low,0,Distribution or aggregator?,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",Singapore,$20m,L&A,Commercial,F1,InsureTech Landscape,48,2020-08-03,2020-08-03,2026-05-27
Gravie,"An employer-focused health insurance venture that helps users choose, buy and manage their health care.",Healthcare,Heathcare,Low,0,Aggregator,Policy Acquisition,US,$44.1m,Health,"Personal, Commercial",F1,InsureTech Landscape,49,2020-08-03,2020-08-03,2026-05-27
Baozhunniu,An online insurance platform offering customizable policies and packages.,Healthcare,"Disability, Hospitalization and medical care",Low,0,Aggregator,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",China,$18.83m,L&A,Group,F1,InsureTech Landscape,50,2020-08-03,2020-08-03,2026-05-27
Coru,A start-up that uses AI to provide consumers in Mexico with a motor insurance price comparison service.,Personal,Auto,Low,0,AI,Policy Acquisition,Mexico,$11m,P&C,Personal,F1,InsureTech Landscape,51,2020-08-03,2020-08-03,2026-05-27
Cuvva,A motor insurance broker providing on-demand insurance for the specific amount of time a driver requires.,Personal,Auto,Low,0,On-demand,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",UK,$2.65m,P&C,Personal,F1,InsureTech Landscape,52,2020-08-03,2020-08-03,2026-05-27
Cover Wallet,A concierge-style service for small business to manage their insurance cover requirements.,Commercial,"Small Business - General liability, Worker's compensation",Medium,0,Aggregator,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management, F&A",US,$28.3m,L&A,Group,F1,InsureTech Landscape,53,2020-08-03,2020-08-03,2026-05-27
League,A digital health platform using technology to connect customers and their employees to health services and benefits.,Healthcare,Healthcare,Low,0,Aggregator,Policy Acquisition,Canada,$76.1m,L&A,"Group, Health",F1,InsureTech Landscape,54,2020-08-03,2020-08-03,2026-05-27
Neura,An AI-as-a-service venture helping companies increase engagement and retention by analyzing data from apps and IoT devices.,Healthcare,Healthcare,Low,0,AI,Policy Acquisition,US,$13.02m,Health,Individual,F1,InsureTech Landscape,55,2020-08-03,2020-08-03,2026-05-27
Coverfox Insurance,"An online insurance broker focusing on providing transparent and simplified insurance policies to individuals. Coverfox is the biggest InsureTech platform in India. Coverfox offers both life and non-life insurance policies. It has 50,000 agents and offers products from 45 insurance companies. The company sold premiums worth $100 million through its platform and generated $22 million in revenue with a million transactions done last year. ",Personal,"Auto, Property",Low,0,Distribution or aggregator?,Policy Acquisition,India,$41.5m,Both,Unknown,F1,InsureTech Landscape,56,2020-08-03,2020-08-03,2026-05-27
Qover,An insurance - as - a - service platform offering digital white label insurance products to providers via open API's.,Personal,Auto,Low,0,,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",Belgium,$7.56m,P&C,Personal,F1,InsureTech Landscape,57,2020-08-03,2020-08-03,2026-05-27
Sentiance,A data science company turning IoT sensor data into rich insights about people’s behavior and real - time context.,Personal,"Auto, Property",Low,0,AI,Policy Acquisition,Belgium,$29.60m,Both,Unknown,F1,InsureTech Landscape,58,2020-08-03,2020-08-03,2026-05-27
Avaamo,"A scalable conversational AI platform for financial services, healthcare and more. ",Healthcare,Healthcare,Low,0,AI/CX,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$14.20m,Both,Unknown,F1,InsureTech Landscape,59,2020-08-03,2020-08-03,2026-05-27
The Care Voice,"An independent mobile social platform that provides trusted, community-sourced ratings and recommendations on top-quality healthcare services. The CareVoice is a health Insure Tech company transforming healthcare experience to be more consumer-centric. They bring unique mobile-based and data-driven solutions that digitalize healthcare and insurance journey with consumers’ interest first.",Healthcare,Heathcare,Low,0,CX,Policy Servicing,China,$3.10m,Health Insurance,Health Insurance,F1,InsureTech Landscape,60,2020-08-03,2020-08-03,2026-05-27
Datacubes,"DataCubes is the first data science platform for commercial underwriting. DataCubes helps carriers improve customer engagement, underwriting productivity, and profitability. DataCubes' platform uses data science to eliminate paperwork, provide a holistic view of risks by analyzing a broad array of internal and external data sources, and score and prioritize commercial risks.",Commercial,"Auto, Property",High,0,Analytics/CX,Policy Underwriting,US,$2.50m,P&C,Commercial Insurance,F1,InsureTech Landscape,61,2020-08-03,2020-08-03,2026-05-27
Huddle,"A peer-to-peer insurance venture utilizing AI and data analytics to offer personalized car, travel, home and renters insurance via their online and mobile platform. Huddle applies artificial intelligence, machine learning and community thinking to the insurance company model, allowing customers to submit claim forms and pictures online, and to receive money or vouchers for replacement items within minutes.",Personal,"Auto, Property",Medium,0,AI/Analytics,"Policy Underwriting, Policy Servicing",Australia,$19.25m,P&C and Travel,Personal & Travel,F1,InsureTech Landscape,62,2020-08-03,2020-08-03,2026-05-27
Root Insurance,A motor insurance company providing driving apps that help drivers get better insurance rates based on their driving behavior.,Personal,Auto,Low,Low,Digital,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$51.00m,P&C,Commercial Insurance,F1,InsureTech Landscape,63,2020-08-03,2020-08-03,2026-05-27
Concirrus,"A provider of intelligent insurance solutions for the marine insurance industry. Concirrus Quest products access and interpret large sets of static demographic and dynamic behavior-based data sets, and combine these with historical claims information to reveal the behaviors that correlate to claims.",Marine,Marine,Low,0,Analytics,Policy Underwriting,UK,$11.00m,P&C,Marine Insurance,F1,InsureTech Landscape,64,2020-08-03,2020-08-03,2026-05-27
Sure,An on-demand insurance venture that offers personal insurance purchasing and management services.,Personal,"Auto, Property, Travel",Low,0,On-demand,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$23.1m,P&C,Personal,F1,InsureTech Landscape,65,2020-08-03,2020-08-03,2026-05-27
Tractable,"A data analytics venture using AI to compares policy holder image data against previous claims data, to make recommendations on the cost of repair.",Personal,Auto,Low,0,Analytics,Claims Management,UK,$34.9m,P&C,Personal,F1,InsureTech Landscape,66,2020-08-03,2020-08-03,2026-05-27
Osigu,"A platform connecting policy holders, providers, and insurance companies to process insurance claims in real time. Osigu provides an insurance management platform intended to be used for data processes and data transfers. The company's insurance management platform helps in all the transactions and data transfers that happen between insurance providers, insurance partners, and the customers eliminating all the over processed and haphazard paperwork found in the back end systems, enabling clients with a reliable and efficient technology that helps them to serve their millions of customers easily without any hassle.",Personal,"Auto, Property",Medium,0,Digital Ops,Policy Underwriting,Guatemala,$7.04m,Unknown,Unknown,F1,InsureTech Landscape,67,2020-08-03,2020-08-03,2026-05-27
Singapore Life,A life insurance venture that provides on-demand solutions for users through their online platform. It provides customers with a better life insurance experience by using the efficiency that technology creates.,Life and Health,Life,Low,0,On-demand,Policy Acquisition,Singapore,$83.00m,Life Insurance,Personal,F1,InsureTech Landscape,68,2020-08-03,2020-08-03,2026-05-27
Ladder,"An insurance broker offering users quick, online access to life insurance that is easy to adapt as their lives change.",Life and Health,Life,Low,0,E-broker,Policy Acquisition,US,$54.0m,Life,Individual,F1,InsureTech Landscape,69,2020-08-03,2020-08-03,2026-05-27
Go Bear,A complete and easy to use comparison site for financial and insurance products.,Personal,"Auto, Property, Travel",Low,0,Aggregator,Policy Acquisition,APAC,$80.0m,"P&C, Health & Travel",Personal,F1,InsureTech Landscape,70,2020-08-03,2020-08-03,2026-05-27
Clearsurance,A crowdsourced ratings and reviews platform that helps people make smarter insurance decisions where people can find the best insurance companies and products to meet their specific needs and unique buying preferences. ,Personal,"Auto, Property",Low,0,Aggregator,Policy Acquisition,US,$8.2m,P&C,Personal,F1,InsureTech Landscape,71,2020-08-03,2020-08-03,2026-05-27
Digital Fineprint,Startup that builds AI and big data tech solutions to help insurers and brokers protect businesses. They help to solve the data challenges facing the commercial insurance industry.,Commercial,Small Business,Medium,0,AI/Big data,"Policy Acquisition, Policy Underwriter ",UK,$3.1m,P&C,Commercial,F1,InsureTech Landscape,72,2020-08-03,2020-08-03,2026-05-27
Swyfft,A home insurance venture that utilizes AI and data analytics to find personalized cover and provide switching services.,Personal,Property,Low,0,AI/Analytics,Policy Underwriting,US,$7.5m,P&C,"Personal, Commercial",F1,InsureTech Landscape,73,2020-08-03,2020-08-03,2026-05-27
Cambridge Mobile Telematics,"A telematics venture developing usage - based and behavior - based programs, making roads and drivers safer.",Personal,Auto,Low,0,Telematics,Policy Underwriting,US,$502.5m,P&C,Commercial,F1,InsureTech Landscape,74,2020-08-03,2020-08-03,2026-05-27
Cyberwrite,A cyber insurance venture using machine learning to provide improved underwriting and pricing solutions to insurers.,Commercial,Cyber insurance,Medium,0,ML,Policy Underwriting,Israel,$1.7m,P&C,Commercial,F1,InsureTech Landscape,75,2020-08-03,2020-08-03,2026-05-27
Xiaoyusan,"An online insurance platform leveraging big data analytics to provide health and life policies for the elderly, children and adults.",Healthcare,Healthcare,Low,0,Big data/Analytics,Policy Acquisition,China,$14.53m,L&A,Personal,F1,InsureTech Landscape,76,2020-08-03,2020-08-03,2026-05-27
Cover,An app that allows its users to insure anything by taking a picture of what they need to protect.,Personal,Property,Low,0,Digital,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$27.0m,P&C,Personal,F1,InsureTech Landscape,77,2020-08-03,2020-08-03,2026-05-27
Toffee Insurance,A mobile - first micro - insurance venture aimed at the younger demographic.,Personal,"Auto, Property, Health, Travel",Low,0,Mobile,"Policy Underwriting, Claims Management",India,$1.6m,All,"Personal, Commercial",F1,InsureTech Landscape,78,2020-08-03,2020-08-03,2026-05-27
Turtlemint,An insurance platform that provides tools and services to help individuals find and buy policies.,Personal,"Auto, Property, Health, Travel",Low,0,Aggregator,Policy Acquisition,India,$31m,P&C and L&A,Personal,F1,InsureTech Landscape,79,2020-08-03,2020-08-03,2026-05-27
Wrisk,"A personal insurance platform targeting the purchase, policy management and claims processes.",Personal,"Auto, Property",Low,0,On-demand,"Policy Acquisition, Claims Management",UK,$10.9m,P&C,Personal,F1,InsureTech Landscape,80,2020-08-03,2020-08-03,2026-05-27
Figo Pet Insurance,A start-up reimagining the pet insurance value proposition by using technology to making life easier for people and their pets.,Pet,Pet,Low,0,Digitl,"Policy Acquisition, Claims management",US,$13m,P&C,Pet Insurance,F1,InsureTech Landscape,81,2020-08-03,2020-08-03,2026-05-27
Hey Mondo,A travel insurance venture utilising data analytics and AI to provide customizable insurance products in an instant. ,Travel,Travel,Low,0,Analytics/AI,Policy Acquisition,Spain,$0.25m,P&C,"Individual, Commercial",F1,InsureTech Landscape,82,2020-08-03,2020-08-03,2026-05-27
Cover Genius,A distribution platform enabling ecommerce companies to sell insurance to their global customers with the use of an API.,Personal,Auto,Low,0,Distribution or aggregator?,Policy Acquisition,Australia,$1.6m,P&C,Commercial,F1,InsureTech Landscape,83,2020-08-03,2020-08-03,2026-05-27
Stonestep,"A micro-insurance as a service platform providing a packaged insurance solution for first-generation customers in emerging markets. Stonestep is a Swiss-based Insure Tech firm that is changing how insurance is delivered in emerging markets. Stonestep enables mobile network operators, retailers and other corporations to easily diversify their services and generate additional revenue, by offering risk products designed to address the needs of first-generation insurance customers at an affordable price.",Personal,"Auto, Property",Low,0,Digital,Policy Acquisition,Switzerland,$4m,P&C,Commercial,F1,InsureTech Landscape,84,2020-08-03,2020-08-03,2026-05-27
Tikkr,"TikkR is a third party insurance processor that provides short-duration, bundled insurance solutions that integrates with user lifestyles by providing protection during periods wherein they perceive rise (e.g., while cycling, running, commuting, etc.).  Mobile app",Healthcare,"Healthcare, Life",Low,0,On-demand,Policy Acquisition,Sweden,-,"L&A, Health",Individual,F1,InsureTech Landscape,85,2020-08-03,2020-08-03,2026-05-27
Buzzmove,"An online marketplace which enables users to compare removals companies and book them online, as well as accurately insure their household contents via Buzzvault.",Personal,Property,Low,0,Aggregator,Policy Acquisition,UK,$9.2m,P&C,Individual,F1,InsureTech Landscape,86,2020-08-03,2020-08-03,2026-05-27
Inzurer,,,,,,AI,Policy Underwriting,Hong Kong,-,All,,F1,InsureTech Landscape,87,2020-08-03,2020-08-03,2026-05-27
Broadspire,,,,,,Digital Ops,Claims Management,US,,P&C,,F1,InsureTech Landscape,88,2020-08-03,2020-08-03,2026-05-27
