solution_name,component,gap_description,evaluation_criteria,supplier_applicability,insuretech_partner,tpa_partner,other_partner,potential_to_build_yn,build_comments,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
"Solution 5 Endorsements End to End Solution
",End to End Endorsement Processing,"1.  Data extraction from Acord, email and supplementary documents","AI/NLP/NLU based data Extraction
","Hyperscience
Flyreel
Chisel.ai
Sumyag Data Sciences
KORE
Lightico
RiskAPP","Hyperscience
Flyreel
Chisel.ai
Sumyag Data Sciences
KORE
Lightico
RiskAPP",,,,,F1,Build-Buy-Partner Analysis,34,2020-08-03,2020-08-03,2026-05-27
"Solution 6 Broker Intake Engine 
",Data Ingestion from Broker Platforms,"1. No existing experience - AON experience can be the blue print
2. A commercial insurance exchange that connects customers, agents, and carriers to match the right quote in record time",Extraction and Digital Data Exchange,"Bold Penguin
concirrus
Lightico
Hyperscience;
Groundspeed
Chisel.ai
KORE","Bold Penguin
concirrus
Lightico",,,,,F1,Build-Buy-Partner Analysis,35,2020-08-03,2020-08-03,2026-05-27
"Solution 6 Broker Intake Engine 
",Data Extraction Module,"1.  Data extraction from Acord, email and supplementary documents",,,"Hyperscience;
Groundspeed
Chisel.ai
KORE",,,,,F1,Build-Buy-Partner Analysis,36,2020-08-03,2020-08-03,2026-05-27
"Solution 6 Broker Intake Engine 
",Value Add Services,"1. While EXL has a deep analytics expertise but there are no ready to deploy solutions for submission prioritization, risk assessment and selection etc.",,,,,,Y,,F1,Build-Buy-Partner Analysis,37,2020-08-03,2020-08-03,2026-05-27
Solution 7 Intelligent Collections,Analytics Led Risk Prioritization & Forecasting,,,,,,,Y,,F1,Build-Buy-Partner Analysis,38,2020-08-03,2020-08-03,2026-05-27
Solution 7 Intelligent Collections,Automated Communications &  Chasers,Low capability in off-the shelf digital solutions,,,,,,Y,,F1,Build-Buy-Partner Analysis,39,2020-08-03,2020-08-03,2026-05-27
Solution 7 Intelligent Collections,Real Time Cash Application ,Low capability in off-the shelf digital solutions,,,,,,Y,,F1,Build-Buy-Partner Analysis,40,2020-08-03,2020-08-03,2026-05-27
Solution 7 Intelligent Collections,Comprehensive Data Reports and Dashboards,,,,,,,Y,,F1,Build-Buy-Partner Analysis,41,2020-08-03,2020-08-03,2026-05-27
Solution 7 Intelligent Collections,Other Receivables Areas,,,,,,,Y,,F1,Build-Buy-Partner Analysis,42,2020-08-03,2020-08-03,2026-05-27
"Solution 8
Audit Analytics",Audit Analytics Center of Excellence (COE),Low capability in off-the shelf digital solutions,,,,,,Y,,F1,Build-Buy-Partner Analysis,43,2020-08-03,2020-08-03,2026-05-27
"Solution 8
Audit Analytics",Dashboard/Customer Report Development,,,,,,,Y,,F1,Build-Buy-Partner Analysis,44,2020-08-03,2020-08-03,2026-05-27
"Solution 8
Audit Analytics",Audit Bot Development and Maintenance,,,,,,,Y,,F1,Build-Buy-Partner Analysis,45,2020-08-03,2020-08-03,2026-05-27
"Solution 9
Process Risk Assessment",COE Delivery Structure ,,,,,,,Y,,F1,Build-Buy-Partner Analysis,46,2020-08-03,2020-08-03,2026-05-27
"Solution 9
Process Risk Assessment",Automation/Robotics,,,,,,,Y,,F1,Build-Buy-Partner Analysis,47,2020-08-03,2020-08-03,2026-05-27
"Solution 9
Process Risk Assessment",Analytics & Reporting,,,,,,,Y,,F1,Build-Buy-Partner Analysis,48,2020-08-03,2020-08-03,2026-05-27
"Solution 9
Process Risk Assessment",Leading Practices,,,,,,,Y,,F1,Build-Buy-Partner Analysis,49,2020-08-03,2020-08-03,2026-05-27
"Solution 9
Process Risk Assessment",Dual Shore,,,,,,,Y,,F1,Build-Buy-Partner Analysis,50,2020-08-03,2020-08-03,2026-05-27
"Solution 10
Finance Automation",RPA,,,,,,,Y,,F1,Build-Buy-Partner Analysis,51,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Finance Blueprint,,,,,,,,,F1,Build-Buy-Partner Analysis,52,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Count of Providers,Column Labels,,,,,,,,F1,Build-Buy-Partner Analysis,57,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Row Labels,High,Low,Medium,,,,,,F1,Build-Buy-Partner Analysis,58,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Advanced Analytics,2,2,2,,,,,,F1,Build-Buy-Partner Analysis,59,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",BlockClaim (Sprout.ai),,1,,,,,,,F1,Build-Buy-Partner Analysis,60,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Cape Analytic,,1,,,,,,,F1,Build-Buy-Partner Analysis,61,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Clara,,,1,,,,,,F1,Build-Buy-Partner Analysis,62,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",concirrus,,,1,,,,,,F1,Build-Buy-Partner Analysis,63,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Gradient,1,,,,,,,,F1,Build-Buy-Partner Analysis,64,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Shift Technology,1,,,,,,,,F1,Build-Buy-Partner Analysis,65,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Big Data,1,1,2,,,,,,F1,Build-Buy-Partner Analysis,66,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",otonomo,,1,,,,,,,F1,Build-Buy-Partner Analysis,67,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Quantemplate,1,,,,,,,,F1,Build-Buy-Partner Analysis,68,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Zesty AI,,,2,,,,,,F1,Build-Buy-Partner Analysis,69,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Claim Processing,2,2,,,,,,,F1,Build-Buy-Partner Analysis,70,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Crawford/ Broadspire,,1,,,,,,,F1,Build-Buy-Partner Analysis,71,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",ESIS,,1,,,,,,,F1,Build-Buy-Partner Analysis,72,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function","Gallagher Bassett

(Everest Group (Skand) published a 2020 State of the TPA industry report.  Must be purchased to review. ($5000) )",1,,,,,,,,F1,Build-Buy-Partner Analysis,73,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Sedgewick,1,,,,,,,,F1,Build-Buy-Partner Analysis,74,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Contact Center,,1,1,,,,,,F1,Build-Buy-Partner Analysis,75,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Actec,,,1,,,,,,F1,Build-Buy-Partner Analysis,76,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",AnsaFone,,1,,,,,,,F1,Build-Buy-Partner Analysis,77,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Content Extraction,3,1,3,,,,,,F1,Build-Buy-Partner Analysis,78,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Chisel.ai,1,,,,,,,,F1,Build-Buy-Partner Analysis,79,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function","DataCubes
(Now Convr)",,1,,,,,,,F1,Build-Buy-Partner Analysis,80,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Groundspeed,1,,,,,,,,F1,Build-Buy-Partner Analysis,81,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Hyperscience,,,1,,,,,,F1,Build-Buy-Partner Analysis,82,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",KORE,1,,,,,,,,F1,Build-Buy-Partner Analysis,83,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",omni:us,,,1,,,,,,F1,Build-Buy-Partner Analysis,84,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Sumyag Data Sciences,,,1,,,,,,F1,Build-Buy-Partner Analysis,85,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Digital Exchange,,4,1,,,,,,F1,Build-Buy-Partner Analysis,86,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Bold Penguin,,,1,,,,,,F1,Build-Buy-Partner Analysis,87,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function","Goji
(UK Company)",,1,,,,,,,F1,Build-Buy-Partner Analysis,88,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function","handdii
(Australian Company)",,1,,,,,,,F1,Build-Buy-Partner Analysis,89,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",IVANS Insurance Solutions,,1,,,,,,,F1,Build-Buy-Partner Analysis,90,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Westhill,,1,,,,,,,F1,Build-Buy-Partner Analysis,91,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Digital Insurer,,6,1,,,,,,F1,Build-Buy-Partner Analysis,92,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",acko (India),,1,,,,,,,F1,Build-Buy-Partner Analysis,93,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Cake,,1,,,,,,,F1,Build-Buy-Partner Analysis,94,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Cove (New Zealand),,1,,,,,,,F1,Build-Buy-Partner Analysis,95,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",digit (India),,1,,,,,,,F1,Build-Buy-Partner Analysis,96,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",FloodFlash,,1,,,,,,,F1,Build-Buy-Partner Analysis,97,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Hippo,,1,,,,,,,F1,Build-Buy-Partner Analysis,98,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Slice,,,1,,,,,,F1,Build-Buy-Partner Analysis,99,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",eSignatures and Document Collection,,,1,,,,,,F1,Build-Buy-Partner Analysis,100,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Lightico,,,1,,,,,,F1,Build-Buy-Partner Analysis,101,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Estimating Software,,,6,,,,,,F1,Build-Buy-Partner Analysis,102,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Flyreel,,,1,,,,,,F1,Build-Buy-Partner Analysis,103,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Hover,,,1,,,,,,F1,Build-Buy-Partner Analysis,104,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Matterport,,,1,,,,,,F1,Build-Buy-Partner Analysis,105,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Plnar,,,1,,,,,,F1,Build-Buy-Partner Analysis,106,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Snapsheet,,,1,,,,,,F1,Build-Buy-Partner Analysis,107,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Tractable,,,1,,,,,,F1,Build-Buy-Partner Analysis,108,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",FNOL,2,,1,,,,,,F1,Build-Buy-Partner Analysis,109,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Gerber NCS,,,1,,,,,,F1,Build-Buy-Partner Analysis,110,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",NetClaim,1,,,,,,,,F1,Build-Buy-Partner Analysis,111,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Safelite,1,,,,,,,,F1,Build-Buy-Partner Analysis,112,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Medical Mgmt Supplier,1,,2,,,,,,F1,Build-Buy-Partner Analysis,113,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function","EK Health

(Woman owned business.  Need to find out if service all 50 dates.  Specialize in CA.)",,,1,,,,,,F1,Build-Buy-Partner Analysis,114,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Mitchell/Genex,,,1,,,,,,F1,Build-Buy-Partner Analysis,115,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Strataware,1,,,,,,,,F1,Build-Buy-Partner Analysis,116,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Payment Platform,2,,5,,,,,,F1,Build-Buy-Partner Analysis,117,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",ACI Worldwide,,,1,,,,,,F1,Build-Buy-Partner Analysis,118,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Commerce Bank,1,,,,,,,,F1,Build-Buy-Partner Analysis,119,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Fiserv,,,1,,,,,,F1,Build-Buy-Partner Analysis,120,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Ingo Money,,,1,,,,,,F1,Build-Buy-Partner Analysis,121,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Invenger,,,1,,,,,,F1,Build-Buy-Partner Analysis,122,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",One Inc,1,,,,,,,,F1,Build-Buy-Partner Analysis,123,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Vpay,,,1,,,,,,F1,Build-Buy-Partner Analysis,124,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Policy Admin System,1,2,,,,,,,F1,Build-Buy-Partner Analysis,125,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",BriteCore,,1,,,,,,,F1,Build-Buy-Partner Analysis,126,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Setoo,,1,,,,,,,F1,Build-Buy-Partner Analysis,127,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Sure,1,,,,,,,,F1,Build-Buy-Partner Analysis,128,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Risk Assessment,,1,2,,,,,,F1,Build-Buy-Partner Analysis,129,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",RiskAPP,,,1,,,,,,F1,Build-Buy-Partner Analysis,130,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Riskgenius,,1,,,,,,,F1,Build-Buy-Partner Analysis,131,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",TensorFlight,,,1,,,,,,F1,Build-Buy-Partner Analysis,132,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Telematics,,2,,,,,,,F1,Build-Buy-Partner Analysis,133,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Jooycar,,1,,,,,,,F1,Build-Buy-Partner Analysis,134,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",TrakGlobalGroup,,1,,,,,,,F1,Build-Buy-Partner Analysis,135,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Telemedicine Platform,,,1,,,,,,F1,Build-Buy-Partner Analysis,136,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",American Well,,,1,,,,,,F1,Build-Buy-Partner Analysis,137,2020-08-03,2020-08-03,2026-05-27
"Solution 11
Transformation Roadmap for Finance Function",Grand Total,14,22,28,,,,,,F1,Build-Buy-Partner Analysis,138,2020-08-03,2020-08-03,2026-05-27
