provider,type,what_they_do,value_chain,applicable_function,market,lob,function_capability,inception_year,ranking_2019,rating_2020,num_solutions,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Cape Analytic,InsurTech,"A data provider drawing on computer vision, geospatial imagery, and machine learning to extract property data for insurers.  Currently only in Personal but appears they may be branching out to Commercial.  Www.capeanalytics.com",P & C Underwriting,Underwriting,Personal ,Property,Advanced Analytics,2014,High,Low,1,F1,Partnership Landscape,18,2020-08-03,2020-08-03,2026-05-27
Chisel.ai,InsurTech,"Chisel AI’s Natural Language Processing (NLP) and Machine Learning (ML) solution, which is purpose-built for insurance, helps commercial insurance brokers and carriers extract, interpret, classify and analyze unstructured data in policies, quotes, submissions, applications, binders, and endorsements 400 times faster than a human can—with significantly greater accuracy.Freeing trapped knowledge enables brokers and carriers to automate high-volume, routine underwriting and brokering tasks. It has modules for Policy CHeck, Submission Prioritization and triage",P&C Underwriting,New Business,Commercial,All,Content Extraction,2016,Not Evaluated,High,3,F1,Partnership Landscape,19,2020-08-03,2020-08-03,2026-05-27
Clara,InsurTech,"Clara Analytics builds product platforms to  Improve Claims Outcomes in Commercial Insurance Through Easy-to-Use AI. The products they service are:

Claims:  
- Help mitigate escalating claim costs
- Identify claims that are at risk and resolve them effectively
Litigation:
- CLARA litigation uses AI insights to detect litigation risk, manage attorney performance, and resolve claims effectively. additional capabilities - litigation avoidance, panel management, settlement alerts 
Providers:
- AI powered growing network that helps in quickly identifying the best doctor for every claim/ client
Medicare Set Aside (MSA):
CLARA analytics is set to revolutionize the MSA practice by providing services faster, and at vastly reduced costs, including unlimited updates and CMS submission. Their MSA solution alleviates the hassle, enabling adjusters to generate MSAs at any time via the online solution. In addition, CLARA’s MSA solution is offered as an integrated feature of CLARA claims, meaning payers will be able to access all claim recommendation features within CLARA claims, as well.",P & C Claims,"Claims Processing, Fraud Analytics, Claims Medical Management, Claims Litigation Management",Commercial,All (Workers' Comp/GL/Auto),Advanced Analytics,2015,Not Evaluated,Medium,1,F1,Partnership Landscape,20,2020-08-03,2020-08-03,2026-05-27
Commerce Bank,Other,"Built in collaboration with a council of insurers across the nation, CommercePayments™ PreferPay is a solution from Commerce Bank that can provide an insurance company a way to provide single and multi-party electronic claims payments while giving insureds and claimants faster access to their funds. PreferPay gives claimants access to claims payments with options like direct-to-debit card and direct deposit.  Once an adjuster issues a payment, your insureds or claimants are provided a secure,one-time-use PreferPay login to verify and access their funds. They can select how they want to be paid while customer data is securely housed at Commerce Bank.","P & C Claims, Finance","Claims Payment, AP",Both,All,Payment Platform,1866,Not Evaluated,High,2,F1,Partnership Landscape,21,2020-08-03,2020-08-03,2026-05-27
concirrus,InsurTech,"Quest, accesses and interprets wide-ranging datasets, combining them with historical claims information to reveal the behaviors that correlate to claims. The results enable insurers and brokers to more accurately quantify risk; reduce losses and boost profits. Quest also makes new, powerful and differentiated product propositions a reality. (Through our analytics work with leading London and Global insurers, we have proven that behavioral data is a better indicator of risk than traditional demographics. With every customer, we’ve delivered insights and new rating factors that simply did not exist before allowing increased profits, the ability to write more business with or without claims history, and reduced administration costs.)",P & C Underwriting,Risk Assessment,Commercial,"Auto, Marine",Advanced Analytics,2012,,Medium,2,F1,Partnership Landscape,22,2020-08-03,2020-08-03,2026-05-27
Cove (New Zealand),InsurTech,Cove is a New Zealand company bringing a touch of innovation and simplicity to the insurance industry. It is a digital insureCove is a Lloyd’s coverholder. All Cove insurance products are underwritten by certain underwriters at Lloyd’s of London.,Underwriting,"Product Acquisition, Underwriting",Personal,Auto,Digital Insurer,2018,,Low,0,F1,Partnership Landscape,23,2020-08-03,2020-08-03,2026-05-27
Crawford/ Broadspire,TPA,"Broadspire is an Insurance company that specializes in providing customized, integrated claims solutions to corporations, brokers, insurers and Lyods Market
Suite of Services: Loss Adjusting, 3rd Party Administration, Managed Repair, Medical Management, On-Demand Services, CAT Responses, Mobile Self Service",P & C Claims,Claims Processing,Both,"All (Auto, Property, WC, Disability Leave, Cyber Risk, Accident & Health, Forensic Accounting. Casualty/ Liability, Construction, Hospitality, Transportation)",Claim Processing,1941,Not Evaluated,Low,2,F1,Partnership Landscape,24,2020-08-03,2020-08-03,2026-05-27
"DataCubes
(Now Convr)",InsurTech,"DataCubes is the first data science platform for commercial underwriting. DataCubes helps carriers improve customer engagement, underwriting productivity, and profitability. DataCubes' platform uses data science to eliminate paperwork, provide a holistic view of risks by analyzing a broad array of internal and external data sources, and score and prioritize commercial risks.",P & C Underwriting,Underwriting,Commercial,"Auto, Property",Content Extraction,2016,High ,Low,1,F1,Partnership Landscape,25,2020-08-03,2020-08-03,2026-05-27
digit (India),InsurTech,"India's first digital insurer backed by Fairfax - Digit,  plans to disrupt the traditionally run Indian general insurance sector by challenging predecessors and disruption of established business processes, equipping and authorizing partners and distributors more on policy issuance, quotes, documentation and claim processing",Underwriting,Claims Processing,Both,"Motor
Property
Travel
Health
Bike
Home
Fire
Theft and Burglary
Health",Digital Insurer,,Not Evaluated,Low,0,F1,Partnership Landscape,26,2020-08-03,2020-08-03,2026-05-27
"EK Health

(Woman owned business.  Need to find out if service all 50 dates.  Specialize in CA.)",Other,"Bill repricing, State Reporting, Nurse Review, Network Optimization, Peer Review with extensive panel of peer review physicians, Medicare Set Aside, Case Mgmt, DWC approved MPN",P & C Claims,Claims Processing,Commercial,WC,Medical Mgmt Supplier,1998,Not Evaluated,Medium,1,F1,Partnership Landscape,27,2020-08-03,2020-08-03,2026-05-27
ESIS,TPA,"Leading provider of TPA and risk management service offerings.  Physical damage service unit, SIU, BI, auto/truck/heavy equipment appraisal. For WC, ESIS Medical Impact is their proprietary medical management solution.",P & C Claims,Claims Processing,Commercial,"All (Auto Liab, WC, GL, PL)",Claim Processing,,Not Evaluated,Low,1,F1,Partnership Landscape,28,2020-08-03,2020-08-03,2026-05-27
Fiserv,Other,"As a global leader in payments and financial technology, the company helps clients achieve best-in-class results through a commitment to innovation and excellence in areas such as account processing and digital banking solutions; card issuer processing and network services; payments; e-commerce; merchant acquiring and processing; and the Clover® cloud-based point-of-sale solution. Engagement Advantage offers an integrated approach to businesses’ billing and payment strategy by supporting the presentment and payment channels, methods, and services their customers want, along with the back office reconciliation process they need. This helps businesses accelerate the transition from paper to digital communications while driving faster collections and improving the customer experience.","P & C Claims, Finance","Claims Payment, AP",Both,All,Payment Platform,1984,Not Evaluated,Medium,2,F1,Partnership Landscape,29,2020-08-03,2020-08-03,2026-05-27
FloodFlash,InsurTech,"They provide event-based cover available to everyone and ensure that everybody is able to recover from catastrophe. Their data and smart sensor approach removes the uncertainty, cost and time of traditional insurance. As a result they are able to provide fast, easy and flexible flood insurance to businesses and landlords",P & C Underwriting,All,Commercial,Flood,Digital Insurer,,Not Evaluated,Low,0,F1,Partnership Landscape,30,2020-08-03,2020-08-03,2026-05-27
Flyreel,InsurTech,"Flyreel provides a comprehensive baseline record for underwriting, risk management and claims for Property Insurance. Their AI Assistant guides policyholders through effortless self-service inspections and claims workflows, thoroughly documenting interior and exterior data like property risks, hazards, features, materials and more. Additionally, they also have a number of ready-made 3rd party integrations to provide data enrichment, and to support existing workflows. With their API, they are able to integrate into clients' preferred backend platform or service of choice. example: Google Maps, Source7, Loss Control 360 etc.",P & C Claims,"Risk Assessment, Claims FNOL, Claims Processing",Both,Property,Estimating Software,2013,Not Evaluated,Medium,3,F1,Partnership Landscape,31,2020-08-03,2020-08-03,2026-05-27
"Gallagher Bassett

(Everest Group (Skand) published a 2020 State of the TPA industry report.  Must be purchased to review. ($5000) )",TPA,"Premier multiline claim services provider.  Services:
'-PC 365 is their Managed Care Platform.  During COVID, they are referring 20% of cases to ta telephysician at point of injury for injured workers based on medically appropraite triage criteria.  
-They have telephysican networks in 47/50 states.  
-THey have Telerehab partnerships (PT, chiro ) with major WC service providers.  
-They also have a Hotline and telemedicine capability.  
-They provide Nurse Case Mgmt services also.  
-THey also have an analytics platform (LUMINOS) and a 
-Mobile app (GBGO) to help injured workers berter manage their cliams and get in touch with the GB Resolution Managers (adjusters). It provides pesonalized mesages, notifications, reminders; it allows EE and employer to view benefit payment history, track MD appts, access digital version of the Medical Cards and RX cards.   
-ClaimZoneReporting seamlessly sends claims to your distribution list and claim systems.  
GBGO firstconnect lets clients report losses and check status of claims.  Supports the 4 major lines of business (WC, GL, Auto, Prop).  Faster data entry through SMART forms, attach photos and videos from accident site, get immediate notification of successful loss submission - mobile and tablet enabled
-Waypoint is a decsion support tool which takes structured and unstructured data and provides decision routes/paths for adjusters
-Rx Profile is a tool for identifying claimants at risk of becoming narcotics addicted and thos efalling outside of safe guidliens .  
-TQI (Treatment Quality Index) uses the power of evidence based medicine (EBM) to get hte best outcomes for patients.  .  it is reported as a percentage, measured against th EBM guidelines proved in peer reviewed clinical studies.  Higher score = better outcomes. ",P & C Claims,Claims Processing,Both,"All (WC, GL, Auto Liab, Professional Liability, Medical Malpractice, Property)",Claim Processing,1962,Not Evaluated,High,2,F1,Partnership Landscape,32,2020-08-03,2020-08-03,2026-05-27
Gerber NCS,TPA,Nationwide claims administrator for reporting auto claims.  Customer Service Agents 24/7.  Gerber used to be Gerber Collision and Glass and is now Gerber National Claim Services  They also have a call center help desk.  TPA for servicing auto and glass claims in FNOL.  ,P & C Claims,FNOL,Both,Auto,FNOL,2016,Not Evaluated,Medium,1,F1,Partnership Landscape,33,2020-08-03,2020-08-03,2026-05-27
"Goji
(UK Company)",InsurTech,"An insurance comparison platform for home and auto policies, providing a service switching solution for users.",P & C Underwriting,Underwriting,Personal,"Auto, Property",Digital Exchange,2007,Low,Low,1,F1,Partnership Landscape,34,2020-08-03,2020-08-03,2026-05-27
Gradient,InsurTech,"Predictive Analytics, decision support and workflow automation driven by AI.  NetClaim announced partnership with Gradient AI.  Software and AI models to catch most expensive claims within first 30 days, STP, predict incurred cost of each claim, assign adjuster and supervisors more effectively, automate and provide decision support throughout the claim lifecycle, predict upcoming claim developments, treatment indicator models.  Founder acquired the company from Millimen (industry known actuarial experts)",P & C Claims,"Claim Processing, Risk Assessment",Both,Unknown ,Advanced Analytics,2018,Not Evaluated,High,1,F1,Partnership Landscape,35,2020-08-03,2020-08-03,2026-05-27
Groundspeed,InsurTech,"Groundspeed’s Adaptive Data Pipeline as a Service™ helps clients accelerate their commercial insurance submission process by unlocking the value in their unstructured data.cross broker, carrier, or managing general agent, Groundspeed enables faster to the market with more accurate information.Adaptive Data Pipeline converts files like loss runs, exposure schedules, policies and submissions to cleaned, structured and enhanced information",P&C Underwriting,New Business,Commercial,All,Content Extraction,2016,Not Evaluated,High,2,F1,Partnership Landscape,36,2020-08-03,2020-08-03,2026-05-27
"handdii
(Australian Company)",InsurTech,"A three sided marketplace connecting customers directly with contractors for insurance companies.  Determines the right contractor to undertake repairs and schedules.  Once contractor inspects and property owner reviews and coverage is confirmed, deductible check is issued.  Progress on repairs is communicated through a handdii storyboard.  once done, customers rate the contractor.  Digital platform that automates the property insurance claim process from FNOL to finalization.  Australian based company.  ",P & C Claims,Claims Processing,Personal,Property,Digital Exchange,2018,Not Evaluated,Low,1,F1,Partnership Landscape,37,2020-08-03,2020-08-03,2026-05-27
Hippo,InsurTech,"Hippo Insurance launched in 2015 with the deep belief that homeowners deserve better home insurance. We automated the process and modernized coverage, allowing us to offer policies that cover the homes and possessions that consumers own today, often with greater savings. We also recognized a smarter home is a safer home: We take a proactive approach to home insurance, providing our customers with smart home devices and working with them to identify and solve small issues in their homes before they become big claims. Most importantly, we built a top-notch support team to care for our customers, something we believe truly differentiates Hippo Insurance.",P & C Underwriting,All,Personal,Homeowner,Digital Insurer,2015,Not Evaluated,Low,2,F1,Partnership Landscape,38,2020-08-03,2020-08-03,2026-05-27
Hover,InsurTech,"HOVER Apps for Insurance Adjusters
HOVER offers one of the best apps for insurance adjusters. Calculate accurate measurements in minutes as HOVER creates a scaled 3D rendering of a home based on a few mobile photos taken of the property. Avoid wasting time taking home measurements by hand. Also, with HOVER’s web platform, you can easily access accurate home measurements to provide insurance coverage or process claims.

",P & C Claims,Claims Processing,"Personal, Commercial","Property, Home Owner",Estimating Software,2012,Not Evaluated,Medium,2,F1,Partnership Landscape,39,2020-08-03,2020-08-03,2026-05-27
Hyperscience,InsurTech,"Fully-customizable solution, powered with document processing technology, out-of-the-box workflows, connectors and intelligence needed to build, run and manage mission-critical business processes - makes us the solution of choice for top public companies and major governments around the world.

Hyperscience’s IDP solution uses proprietary machine learning models to extract printed and handwritten text from structured and semi-structured documents, such as forms, invoices, paystubs, and checks. Its success is driven by enterprise-friendly features, such as the ability to configure accuracy thresholds, quality assurance capability for measuring the model’s accuracy and improvements, and comprehensive analytics dashboards that provide a unified view of human and machine performance.","P & C Claims, UW",All,"Personal, Commercial",All,Content Extraction,2014,Not Evaluated,Medium,7,F1,Partnership Landscape,40,2020-08-03,2020-08-03,2026-05-27
Ingo Money,,instant money company. Pay anyone anywhere for anything in an instant with real time secure funding.  Ingo Money’s full-service Disbursements Marketplace platform provides a range of disbursement services via lightweight technical integrations that feature payment choice.,"P & C Claims, Finance","Claims Payment, AP",Both,All,Payment Platform,2001,Not Evaluated,Medium,2,F1,Partnership Landscape,41,2020-08-03,2020-08-03,2026-05-27
Invenger,Other,"They empower insurers to deliver a digital premium and claims payment experience that customers expect — fast, flexible, and future-focused. digital claim payments platform enables real time data retrieval and facilitates faster responses and payment transactions through the use of a robust set of web services.  T/L leinholder payments, mortgagee payments, reporting and reconciliation","P & C Claims, Finance, Billing","Claims Payment, AP, AR",Both,All,Payment Platform,2003,Not Evaluated,Medium,2,F1,Partnership Landscape,42,2020-08-03,2020-08-03,2026-05-27
IVANS Insurance Solutions,InsurTech,"Connectivity is changing consumer expectations and business operations. Leverage IVANS, the insurance industry’s exchange connecting insurers, MGAs, agencies and insureds, to digitally distribute products and services in more ways than ever before",P&C Underwriting,"Underwriting, Acquisition, Broker Management",Commercial,All,Digital Exchange,1983,Not Evaluated,Low,1,F1,Partnership Landscape,43,2020-08-03,2020-08-03,2026-05-27
Jooycar,InsurTech,"An IoT-enabled solution for the usage-based insurance market. Its usage-based insurance (UBI) solution demanded various data inputs and outputs, including automotive data collection, user data collection and output to many possible data bases and applications. To create such a flexible smart car platform, Jooycar enlisted the help of Telit’s IoT technology and expertise. (Basically a front end app tover Telit's hardware)",P & C Underwriting,"Product Acquisition, Underwriting",Personal,Auto,Telematics,1999,,Low,0,F1,Partnership Landscape,44,2020-08-03,2020-08-03,2026-05-27
KORE,InsurTech,"Kore.ai provides platforms and solutions to o enable enterprises to automate and enhance digital interactions with their customers, employees and partners. Kore.ai provides a Conversational AI based no/low code enterprise platform to create virtual assistants with conversational & digital user experiences. Kore.ai also provides domain trained pre-built virtual assistants for Banking, Insurance, HR and IT Support. The company has launched an enterprise digital assistant called Kora which acts as a universal/master/concierge assistant with inbuilt skills for knowledge mgt, enterprise search and meetings/tasks mgt and extensible with custom chatbot/digital, RPA & search skills. In addition, the company provides a cloud based call automation and digital deflection service called Deflect.",P & C Underwriting & Claims,"Underwriting, Claim",Both,All,Content Extraction,2013,Not Evaluated,High,7,F1,Partnership Landscape,45,2020-08-03,2020-08-03,2026-05-27
Lightico,InsurTech,"eSignatures, eForms, Document Collection (use cellphones to snap and submit photos of bills, proof of income, passports), ID verification, Digital Consent, Secure Payment (pci compliant payments), Shared Review.  More efficient and intuitive claims and renewal processes.  Can also collect info at FNOL.Fastest growing eSignature insurance solution","P & C Claims, UW",All,Both,"All (WC, Auto, Property)",eSignatures and Document Collection,2015,Not Evaluated,Medium,7,F1,Partnership Landscape,46,2020-08-03,2020-08-03,2026-05-27
Matterport,InsurTech,"Matterport ensures the highest accuracy in processing claims, reducing discrepancies and travel times necessary to verify jobs, decreasing overall costs, and providing better customer service to your clients.

Improve accuracy and reduce the claim cycle.
Adjust remotely and reduce travel time.
Increase operational transparency with the ability to share links of 3D spaces to different stakeholders.
Boost adjusting quality by enabling adjusters to review and navigate the loss remotely with accurate property dimensions.
Improve customer service experience for policyholders by closing claims faster.
Add additional notes and details with Mattertags™
Improve catastrophic (CAT) event response when in-house field adjusting teams are stretched thin by accessing the network of thousands of Matterport Service Partners, helping get people back into their homes and getting businesses up and running faster.
Train and educate remotely with photo-realistic 3D experiences that are more cost effective than VR studios.",P & C Claims,"Risk Assessment, Claims Processing","Personal, Commercial","Property, Home Owner",Estimating Software,2011,Not Evaluated,Medium,2,F1,Partnership Landscape,47,2020-08-03,2020-08-03,2026-05-27
Mitchell/Genex,Other,"Mitchell International delviered smart technology solutions that simplify and acclerate claims handling, repair process and pharmacy transactions.  
Collision Repair & Auto Body Shop Software Solutions - shop esimtaing, mgmt and workflow, estimating software, repair networks, DRP solutions, Auto Glass, 
Physical Damage Clms Mgmt - Mitchell Work Center - open, E2E modular solution:  streamline assignment and claim routing, produce accurate estimates, T/L valuations, Photo Estimating, 
PIP - Review Medical Bills, Access Auto Networks, Process Bills.  DecisionPoint is the Medical Bill Review Platform.  Also do 2nd level code and nurse review
3rd Party Casualty - Mitchell ClaimIQ - Injury and Assessment Software to assess liability and evaluate general damages
WC - Compliance Connection website to inform of regulatory changes, Regulatory Reporting Solution, SmartAdvisor Medical Bill Review Platform, AuditPro helps payors identify erros and abuses on medical bills, UM/UR, Physician Advisor Services, Nurse Case Management, IME's, RX intervention.
Through Genex - Field Case Management, Telephonic Case Management, CAT Case Mgmt, UM/UR, Provider Care Networks, Cost containment programs in WC
",P & C Claims,Claims Processing,Both,"All (Auto, PIP, Liability, WC)",Medical Mgmt Supplier,1978,Not Evaluated,Medium,1,F1,Partnership Landscape,48,2020-08-03,2020-08-03,2026-05-27
NetClaim,InsurTech,"Largest provider of outsourced FNOL in NA. Always Available Intake team providing 24/7 coverage.  Accommodates all methods of intake and tailored to integrate with national PPO networks.  Module called Companion Claim streamlines the reporting process y pre-populating info when there are multiple claims from a  single incident  Integrity checks provided automated, real time quality assurance, while a highly sophisticated dissemination and escalation engine supports complex routing in multiple formatted leading software and services solution copnay for insurance claims intake ""NetClaim analytics powered by Gradient AI"".  They have a Web reporting capability also.  Call center capability,.  Module called CrisisPoint is an escalation engine/tool that gets info on crisis losses to the right person immediately (i.e.; CAT, hostage, etc).  TPA's also use NetClaim (ESIS)",P & C Claims,Claims Processing,Both,All,FNOL,2000,Not Evaluated,High,1,F1,Partnership Landscape,49,2020-08-03,2020-08-03,2026-05-27
omni:us,InsurTech,"omni:us is bridging the gap between legacy insurance processes and intelligent systems to allow for required empathy. Leverage cutting-edge machine learning technology and revitalize your customer journey from the ground up. By automating non customer-facing workflows and offering valuable decision support to claims agents, you can realign around the immediate needs of policyholders. The modules are Cognitive Intake & Enrichment, AI automation of data intense task and enable Straight through processing, automated coverage check and document completeness check",P & C Claims,Claims Processing,Both,All,Content Extraction,2015,,Medium,1,F1,Partnership Landscape,50,2020-08-03,2020-08-03,2026-05-27
One Inc,Other,"One Inc provides insurance companies a digital payments platform designed to increase retention, decrease admin expenses, and mitigate data security risk — while simplifying compliance. Combining multichannel digital communications with electronic payment processing and disbursement, the One Inc digital payments platform creates a frictionless premium and claims payment experience. Multiple payment methods — Allow payees to select how they want to be paid. Pay via an instant digital payment ClaimsCard®; push to an existing debit card; direct deposit via ACH; or mail a physical check in the mail.
• Multiparty approvals and payments — Digitally obtain all required approvals and pay multiple parties on the same claim, reducing the cost and time it takes to close a claim.
• API integration — Integrate directly into your claims management system, saving time and simplifying adjuster onboarding by fitting naturally into their workflow.
• Two-factor authentication — Approvers and payees authenticate themselves by providing personal information as well as a code provided via phone or text,","P & C Claims, Finance","Claims Payment, AP",Both,All,Payment Platform,2012,Not Evaluated,High,2,F1,Partnership Landscape,51,2020-08-03,2020-08-03,2026-05-27
otonomo,InsurTech,"The Otonomo Automotive Data Services Platform uses patented technology to ingest, secure, cleanse, normalize, aggregate, and enrich car data from 18 million vehicles. It is cloud-based software platform that captures and anonymizes vehicle data so it can then be used to create apps to provide services such as electric vehicle management, subscription-based fueling, parking, mapping, usage-based insurance and emergency service.It helps Usage-Based Insurance, Driver Behavior Monitoring and Feedback, Mileage Verification, First Notice of Loss, Claim, and Incident Reporting, Accident Reconstruction etc (Israeli startup)",P & C Underwriting,"Product Acquisition, Underwriting, claim",Personal,Auto,Big Data,2015,,Low,0,F1,Partnership Landscape,52,2020-08-03,2020-08-03,2026-05-27
Plnar,InsurTech,"Plnar is a leader in unlocking the power of digital photos with technology. Since its launch in 2017, our original augmented reality dimensioning app has been downloaded more than 400,000 times and helped users create thousands of projects. 
plnar’s first-of-its-kind technology transforms interior property claims by creating better consumer experiences, shortening cycle times and streamlining expensive, inefficient processes. For insurers, they enable the digital desk for interior property claims by putting desk adjusters virtually into interior spaces in 3 simple steps:

1) Simple Smart device data capture: Homeowner, gig worker, inspector or field adjuster captures the interior 
     property and damage with their smartphone, with or without measurements, to initiate the virtual claim
2) AR and AI enabled 3D modeling generates complete data sets and 3D models from digital photos taken of 
     the interior property and damages
3) Digital Desk Portal : Desk adjusters can add annotations, take additional measurements from digital 
    photos, update 2D & 3D models in real time, generate reports and leverage digital adjusting tools to 
    resolve virtual claims with confidence",P & C Claims,Claims Processing,Both,Property,Estimating Software,2017,Not Evaluated,Medium,1,F1,Partnership Landscape,53,2020-08-03,2020-08-03,2026-05-27
Quantemplate,InsurTech,"The Quantemplate platform is specifically tailored to the day-to-day needs of insurance and re/insurance companies, putting the tools to manage data into the hands of the Underwriters, actuaries and management perform who perform deep analytics, share insights across their organization and use underwriting, claims and reserving data to drive financial performance. Build proprietary customer, market and pricing insights with Quantemplate analytic. 
Quantemplate enables commercial property companies to quickly screen and prioritize submissions by automating the data preparation process, utilizing machine learning and applying validations to implement carrier rules
Case Study : TRANSAMERICA",P & C Underwriting,Underwriting,Commercial,Property,Big Data,2012,,High,1,F1,Partnership Landscape,54,2020-08-03,2020-08-03,2026-05-27
RiskAPP,InsurTech,It creates clear report of your risks basis structured dataset. This company also offers to automate rating process if carrier is trying to digitize SME business,P & C Underwriting,Underwriting,Both,All,Risk Assessment,2015,Not Evaluated,Medium,3,F1,Partnership Landscape,55,2020-08-03,2020-08-03,2026-05-27
Riskgenius,InsurTech,"RiskGenius is policy documents reading tool which help summarize the coverages, identify risks or gaps in prodcuts using ML. Works for both Carriers and Brokers
RiskGenius increases the quality and speed of coverage delivery so you can work smarter and earn more business

The RiskGenius team is working to fix these processes by supporting insurance professionals with automation. By applying machine learning to insurance policies, we can streamline the work of underwriters, brokers and everyone in between. The result is insurance professionals can do more meaningful work for satisfied customers
",P & C Underwriting & Broker,Risk Engineering,Commercial,All,Risk Assessment,2011,Not Evaluated,Low,4,F1,Partnership Landscape,56,2020-08-03,2020-08-03,2026-05-27
